0	0.588003
1	0.0707963
2	-0.714898
3	-1.23515
4	-1.49964
5	-1.66699
6	-1.80696
7	-1.9606
8	-2.17914
9	-2.56738
10	-3.23943
11	-3.8696
12	-4.20998
13	-4.39183
14	-4.50344
15	-4.58079
16	-4.63976
17	-4.68842
18	-4.73146
19	-4.77216
20	-4.81325
21	-4.85767
22	-4.90938
23	-4.97472
24	-5.06569
25	-5.2084
26	-5.46732
27	-5.98149
28	-6.69872
29	-7.16935
30	-7.40443
31	-7.5346
32	-7.61667
33	-7.67379
34	-7.71658
35	-7.75052
36	-7.77869
37	-7.80301
38	-7.82473
39	-7.84475
40	-7.86375
41	-7.88232
42	-7.90099
43	-7.92034
44	-7.94101
45	-7.96384
46	-7.98999
47	-8.02119
48	-8.06022
49	-8.11193
50	-8.18558
51	-8.30093
52	-8.5057
53	-8.91627
54	-9.61348
55	-10.1845
56	-10.4729
57	-10.6239
58	-10.7142
59	-10.7742
60	-10.8172
61	-10.85
62	-10.876
63	-10.8975
64	-10.9158
65	-10.9318
66	-10.946
67	-10.959
68	-10.971
69	-10.9823
70	-10.9932
71	-11.0038
72	-11.0143
73	-11.0249
74	-11.0358
75	-11.0471
76	-11.0591
77	-11.072
78	-11.0862
79	-11.1023
80	-11.1208
81	-11.143
82	-11.1701
83	-11.2047
84	-11.2512
85	-11.3184
86	-11.4206
87	-11.6028
88	-11.9631
89	-12.6166
90	-13.2384
91	-13.5699
92	-13.7348
93	-13.8318
94	-13.8947
95	-13.9389
96	-13.9721
97	-13.9966
98	-14.0177
99	-14.0349
100	-14.0494
